Modelo,RMSE,MAE,MAPE
Redes Neurais,"35.430.407,05","25.904.467,27","9,19"
Holt-Winters,"15.533.703,05","13.223.396,13","4,77"
ARIMA,"11.611.439,77","8.375.907,44","3,17"
