Modelo,RMSE,MAE,MAPE
Redes Neurais,"22.339.425,11","18.203.377,55","46,37"
ARIMA,"7.803.989,94","6.084.396,14","14,81"
Holt-Winters,"5.901.479,43","4.168.116,21","10,23"
