Modelo,RMSE,MAE,MAPE
Redes Neurais,"14.507.977,49","11.448.639,24","27,33"
Holt-Winters,"5.073.380,80","4.061.152,75","11,27"
ARIMA,"3.778.289,96","2.953.249,18","9,38"
