Modelo,RMSE,MAE,MAPE
Redes Neurais,"62.525.919,41","41.256.000,94","9,96"
ARIMA,"48.887.542,00","34.366.922,68","8,13"
Holt-Winters,"31.700.817,75","19.911.875,80","4,62"
