Modelo,RMSE,MAE,MAPE
ARIMA,"319.401.294,87","240.300.320,28","7,52"
Holt-Winters,"340.743.262,94","255.926.120,08","7,99"
Redes Neurais,"486.336.819,92","378.156.122,27","11,67"
