Modelo,RMSE,MAE,MAPE
Redes Neurais,"67.029.707,10","53.180.207,45","9,11"
ARIMA,"43.995.497,48","36.271.485,70","7,01"
Holt-Winters,"39.597.323,77","36.654.244,60","7,09"
