Métrica,Valor,Valor_formatado
RMSE (Root Mean Squared Error),19737594.8029067,"19.737.594,80"
MAE (Mean Absolute Error),19475094.25636601,"19.475.094,26"
MAPE (Mean Absolute % Error),140.64011881954775,"140,64"
