Modelo,RMSE,MAE,MAPE
ARIMA,"42.212.663,30","37.899.496,88","13,42"
Holt-Winters,"52.011.313,79","47.212.635,08","16,95"
Redes Neurais,"66.994.267,48","26.483.972,93","6,79"
