Mês,Valores_Previstos
2025-09,"7.767.522,67"
2025-10,"8.619.882,92"
2025-11,"11.166.820,74"
2025-12,"11.009.863,96"
2026-01,"8.899.548,73"
2026-02,"8.170.172,28"
2026-03,"9.498.887,51"
2026-04,"8.213.864,31"
2026-05,"8.549.763,83"
2026-06,"8.549.107,88"
2026-07,"10.454.201,19"
2026-08,"9.044.855,18"
