Modelo,RMSE,MAE,MAPE
ARIMA,"58.224.484,26","52.806.184,43","5,57"
Holt-Winters,"66.121.967,75","54.655.977,56","5,66"
Redes Neurais,"141.680.255,25","106.925.094,63","9,80"
