Mês,Valores_Previstos
2025-09,"1.520.333.761,48"
2025-10,"1.503.269.369,71"
2025-11,"1.550.549.420,35"
2025-12,"1.547.925.567,10"
2026-01,"1.534.182.038,42"
2026-02,"1.470.182.936,46"
2026-03,"1.528.193.690,18"
2026-04,"1.572.745.593,95"
2026-05,"1.510.640.949,03"
2026-06,"1.554.281.419,36"
2026-07,"1.583.524.229,64"
2026-08,"1.621.065.064,54"
