Modelo,RMSE,MAE,MAPE
Holt-Winters,"22.802.544,13","19.392.631,48","3,83"
ARIMA,"23.916.430,45","17.058.428,75","3,47"
Redes Neurais,"36.393.528,39","32.082.613,15","6,07"
