Mês,VP_HW,VP_ARIMA,VP_RN
2025-09,"246.747.831,78","240.369.656,96","289.565.338,21"
2025-10,"259.405.536,30","257.730.498,32","298.109.619,30"
2025-11,"309.939.357,37","297.512.055,51","305.880.839,40"
2025-12,"336.770.893,61","312.578.811,38","306.786.780,08"
2026-01,"305.840.855,95","304.046.421,67","305.012.944,37"
2026-02,"375.341.662,88","386.764.870,80","307.493.036,35"
2026-03,"268.515.299,68","252.924.834,98","296.363.280,01"
2026-04,"331.280.514,25","381.078.938,29","300.437.125,96"
2026-05,"317.656.848,32","320.309.825,07","305.980.175,94"
2026-06,"313.267.922,05","335.877.333,55","304.562.658,27"
2026-07,"254.994.624,89","262.022.366,18","289.987.564,70"
2026-08,"292.749.004,71","301.457.575,15","302.260.897,90"
