Modelo,RMSE,MAE,MAPE
ARIMA,"53.021.999,79","34.685.374,80","4,42"
Holt-Winters,"53.505.831,01","33.117.363,96","4,23"
Redes Neurais,"58.872.689,21","48.412.978,72","6,38"
