Modelo,RMSE,MAE,MAPE
Holt-Winters,"19.605.673,13","16.044.024,40","13,28"
ARIMA,"22.644.437,07","17.401.431,27","14,42"
Redes Neurais,"30.107.272,91","27.946.458,82","22,11"
