Modelo,RMSE,MAE,MAPE
ARIMA,"164.189.259,59","98.619.852,37","11,20"
Holt-Winters,"165.745.145,61","100.525.201,06","11,79"
Redes Neurais,"195.226.531,21","141.526.449,87","17,04"
