Mês,Valores_Previstos
2025-09,"269.619,09"
2025-10,"272.822,63"
2025-11,"276.321,27"
2025-12,"275.434,56"
2026-01,"273.971,84"
2026-02,"305.342,52"
2026-03,"286.593,05"
2026-04,"288.979,56"
2026-05,"281.604,80"
2026-06,"280.044,22"
2026-07,"274.991,78"
2026-08,"275.591,48"
