Mês,Valores_Previstos
2025-09,"152.853.319,11"
2025-10,"163.433.484,96"
2025-11,"201.471.175,05"
2025-12,"217.184.905,77"
2026-01,"201.182.974,38"
2026-02,"265.862.660,29"
2026-03,"178.718.367,26"
2026-04,"184.077.427,98"
2026-05,"219.736.835,42"
2026-06,"222.826.440,53"
2026-07,"147.690.231,18"
2026-08,"192.181.640,47"
