Mês,Valores_Previstos
2025-09,"4.448.844,70"
2025-10,"4.719.363,58"
2025-11,"4.385.293,55"
2025-12,"5.202.592,00"
2026-01,"4.528.751,99"
2026-02,"4.324.844,42"
2026-03,"4.208.557,42"
2026-04,"3.650.066,92"
2026-05,"4.056.187,00"
2026-06,"4.287.357,23"
2026-07,"3.995.602,49"
2026-08,"4.145.987,15"
