Mês,Valores_Previstos
2025-09,"4.197.734.154,39"
2025-10,"4.198.379.151,04"
2025-11,"4.199.428.469,88"
2025-12,"4.200.652.660,11"
2026-01,"4.200.642.251,10"
2026-02,"4.200.730.591,93"
2026-03,"4.200.520.510,93"
2026-04,"4.200.889.895,05"
2026-05,"4.201.084.860,36"
2026-06,"4.201.333.952,52"
2026-07,"4.201.195.195,88"
2026-08,"4.201.515.069,32"
