Modelo,RMSE,MAE,MAPE
ARIMA,"23.373.280,38","18.318.601,34","3,97"
Holt-Winters,"44.792.597,23","32.891.819,74","6,53"
Redes Neurais,"95.356.628,52","75.129.444,19","15,31"
