Modelo,RMSE,MAE,MAPE
Redes Neurais,"242.250.037,03","212.969.575,15","23,46"
Holt-Winters,"174.060.037,42","150.768.658,04","16,92"
ARIMA,"138.517.597,73","123.105.018,27","13,69"
