Modelo,RMSE,MAE,MAPE
Holt-Winters,"1.547.211.076,94","1.268.207.182,75","4,10"
ARIMA,"1.625.612.533,46","1.194.065.168,58","3,57"
Redes Neurais,"2.319.098.306,08","1.616.043.002,69","4,75"
