Modelo,RMSE,MAE,MAPE
Holt-Winters,"21.010.873,99","15.115.656,10","10,73"
ARIMA,"22.148.763,80","16.572.405,83","11,64"
Redes Neurais,"28.542.410,94","16.511.526,30","10,49"
