Métrica,Valor,Valor_formatado
RMSE (Root Mean Squared Error),10134778.90322139,"10.134.778,90"
MAE (Mean Absolute Error),8180847.399539252,"8.180.847,40"
MAPE (Mean Absolute % Error),14.386823778145924,"14,39"
