Mês,VP_HW,VP_ARIMA,VP_RN
2025-09,"100.490.309,73","91.458.405,79","97.967.857,75"
2025-10,"100.572.627,49","98.270.518,74","97.970.237,47"
2025-11,"102.088.632,66","97.681.828,01","97.941.435,92"
2025-12,"121.196.439,44","118.584.756,04","97.934.428,35"
2026-01,"73.492.407,83","74.652.706,72","98.016.749,84"
2026-02,"85.841.083,60","85.710.204,97","97.981.335,51"
2026-03,"94.355.064,41","91.878.515,53","97.975.603,72"
2026-04,"91.464.332,97","90.188.615,61","97.975.731,66"
2026-05,"108.139.836,42","99.493.348,79","97.982.918,34"
2026-06,"94.053.455,83","91.207.682,98","97.988.767,11"
2026-07,"94.678.575,69","91.903.396,19","97.991.212,63"
2026-08,"98.392.902,96","91.277.903,12","97.991.369,82"
