Modelo,RMSE,MAE,MAPE
Holt-Winters,"181.349.520,34","153.776.644,42","6,96"
ARIMA,"186.857.883,83","147.711.467,64","6,58"
Redes Neurais,"245.554.680,33","201.923.128,01","9,05"
