Modelo,RMSE,MAE,MAPE
Holt-Winters,"70.086.805,46","57.450.497,63","6,33"
ARIMA,"74.271.039,23","59.727.479,83","6,26"
Redes Neurais,"143.317.237,53","114.435.867,09","11,78"
