Métrica,Valor,Valor_formatado
RMSE (Root Mean Squared Error),74995427.4175767,"74.995.427,42"
MAE (Mean Absolute Error),56015000.80373939,"56.015.000,80"
MAPE (Mean Absolute % Error),11.342403229869753,"11,34"
