Modelo,RMSE,MAE,MAPE
Redes Neurais,"309.622.486,65","247.001.062,14","15,36"
Holt-Winters,"96.030.281,54","78.174.705,64","5,27"
ARIMA,"79.059.840,94","70.493.647,29","4,92"
