Mês,Valores_Previstos
2025-09,"11.460.953,22"
2025-10,"11.533.471,65"
2025-11,"8.617.585,10"
2025-12,"8.782.464,97"
2026-01,"13.005.137,16"
2026-02,"23.193.468,73"
2026-03,"14.142.719,72"
2026-04,"12.523.077,91"
2026-05,"12.235.407,56"
2026-06,"13.846.993,60"
2026-07,"14.471.286,66"
2026-08,"13.758.469,62"
