Mês,Valores_Previstos
2025-09,"187.457.161,75"
2025-10,"175.776.406,32"
2025-11,"166.248.736,48"
2025-12,"175.062.131,51"
2026-01,"278.658.772,39"
2026-02,"509.574.250,25"
2026-03,"153.190.380,51"
2026-04,"134.224.990,50"
2026-05,"130.459.038,70"
2026-06,"146.671.998,68"
2026-07,"178.201.316,36"
2026-08,"187.639.516,66"
