Modelo,RMSE,MAE,MAPE
Redes Neurais,"163.603.856,35","131.087.521,52","9,75"
ARIMA,"93.017.727,65","72.230.662,11","5,39"
Holt-Winters,"77.803.078,50","58.997.279,44","4,45"
