Modelo,RMSE,MAE,MAPE
Redes Neurais,"401.623.455,23","342.862.545,68","7,64"
Holt-Winters,"345.009.902,32","244.294.852,00","5,89"
ARIMA,"328.298.132,75","232.069.468,54","5,60"
