Modelo,RMSE,MAE,MAPE
ARIMA,"39.149.940,45","28.290.117,87","15,54"
Redes Neurais,"37.721.825,12","27.421.592,90","15,20"
Holt-Winters,"35.268.636,31","27.652.019,82","15,43"
