Modelo,RMSE,MAE,MAPE
ARIMA,"12.140.365,12","9.908.298,98","7,15"
Holt-Winters,"12.616.257,63","10.391.576,70","7,35"
Redes Neurais,"20.141.192,79","17.568.117,25","12,32"
