Modelo,RMSE,MAE,MAPE
Holt-Winters,"436.870.071,86","235.785.985,94","8,40"
ARIMA,"455.836.978,62","223.337.017,90","7,62"
Redes Neurais,"589.581.325,76","399.022.600,90","14,84"
