Modelo,RMSE,MAE,MAPE
Holt-Winters,"102.807.828,72","87.791.701,54","5,12"
ARIMA,"119.920.956,55","90.838.946,94","5,35"
Redes Neurais,"171.463.296,33","137.375.937,26","7,50"
