Modelo,RMSE,MAE,MAPE
Holt-Winters,"7.139.143,59","5.980.610,32","5,27"
ARIMA,"8.921.357,15","6.909.286,80","5,84"
Redes Neurais,"22.723.975,57","18.188.919,53","15,36"
