Métrica,Valor,Valor_formatado
RMSE (Root Mean Squared Error),593640051.5212305,"593.640.051,52"
MAE (Mean Absolute Error),412806015.02910775,"412.806.015,03"
MAPE (Mean Absolute % Error),134.72110423241494,"134,72"
