Mês,Valores_Previstos
2025-09,"13.711.339,40"
2025-10,"16.141.448,99"
2025-11,"15.175.130,35"
2025-12,"19.973.104,40"
2026-01,"15.499.553,67"
2026-02,"18.645.100,86"
2026-03,"19.032.770,14"
2026-04,"16.906.796,83"
2026-05,"14.608.125,46"
2026-06,"15.146.764,21"
2026-07,"15.476.785,47"
2026-08,"15.007.828,66"
