Modelo,RMSE,MAE,MAPE
Redes Neurais,"2.135.357.298,77","1.542.310.723,34","6,71"
ARIMA,"1.035.258.539,50","841.965.282,49","3,78"
Holt-Winters,"973.458.734,28","887.028.345,47","4,13"
