Mês,Valores_Previstos
2025-09,"15.542.654,22"
2025-10,"15.313.212,95"
2025-11,"9.702.712,59"
2025-12,"6.286.700,21"
2026-01,"14.989.873,30"
2026-02,"15.643.545,99"
2026-03,"15.667.709,48"
2026-04,"15.688.120,22"
2026-05,"15.701.126,54"
2026-06,"15.680.264,54"
2026-07,"15.677.759,12"
2026-08,"15.648.739,79"
