Mês,VP_HW,VP_ARIMA,VP_RN
2025-09,"2.245.413.247,93","2.229.260.823,51","2.346.794.649,37"
2025-10,"2.230.190.226,65","2.217.336.464,39","2.348.509.105,25"
2025-11,"2.323.761.479,63","2.276.673.864,31","2.352.229.789,91"
2025-12,"2.360.439.919,32","2.312.894.397,43","2.354.796.562,31"
2026-01,"2.407.638.745,43","2.352.603.584,63","2.356.833.987,26"
2026-02,"2.099.359.626,97","2.110.289.293,04","2.357.576.080,64"
2026-03,"2.154.688.174,84","2.170.712.677,03","2.357.944.906,09"
2026-04,"2.288.111.477,73","2.255.565.255,91","2.357.551.400,14"
2026-05,"2.207.125.759,74","2.195.844.844,09","2.358.636.947,42"
2026-06,"2.296.900.798,36","2.261.419.344,03","2.357.965.242,83"
2026-07,"2.307.536.307,74","2.272.331.237,26","2.358.709.458,74"
2026-08,"2.375.420.795,69","2.324.154.839,57","2.358.213.035,09"
