Modelo,RMSE,MAE,MAPE
ARIMA,"16.546.890,34","11.694.756,10","11,40"
Holt-Winters,"19.769.687,71","12.677.201,73","11,66"
Redes Neurais,"28.791.534,59","23.805.769,02","21,93"
