Modelo,RMSE,MAE,MAPE
Holt-Winters,"6.064.927,99","4.969.143,40","16,64"
ARIMA,"6.129.511,00","5.100.477,84","17,13"
Redes Neurais,"6.656.003,89","5.461.453,27","17,46"
