Modelo,RMSE,MAE,MAPE
Redes Neurais,"3.981.296,33","2.259.454,25","15,93"
Holt-Winters,"4.130.537,85","2.414.506,01","18,39"
ARIMA,"4.484.488,67","2.650.536,66","19,97"
