Métrica,Valor,Valor_formatado
RMSE (Root Mean Squared Error),4102162.9411616274,"4.102.162,94"
MAE (Mean Absolute Error),3297281.7199229025,"3.297.281,72"
MAPE (Mean Absolute % Error),29.579108598341193,"29,58"
