Métrica,Valor,Valor_formatado
RMSE (Root Mean Squared Error),1939822.881337086,"1.939.822,88"
MAE (Mean Absolute Error),1690248.331176376,"1.690.248,33"
MAPE (Mean Absolute % Error),26.812532806777718,"26,81"
