Mês,Valores_Previstos
2025-09,"104.760.179,20"
2025-10,"104.760.179,20"
2025-11,"104.760.179,20"
2025-12,"104.760.179,20"
2026-01,"104.760.179,20"
2026-02,"104.760.179,20"
2026-03,"104.760.179,20"
2026-04,"104.760.179,20"
2026-05,"104.760.179,20"
2026-06,"104.760.179,20"
2026-07,"104.760.179,20"
2026-08,"104.760.179,20"
