Modelo,RMSE,MAE,MAPE
ARIMA,"220.679.987,87","136.112.564,87","17,92"
Holt-Winters,"222.027.037,99","137.523.562,44","18,25"
Redes Neurais,"264.049.683,09","176.697.930,70","26,75"
