Mês,Valores_Previstos
2025-09,"7.348.482.737,79"
2025-10,"7.291.729.851,81"
2025-11,"7.566.332.937,71"
2025-12,"9.972.820.342,56"
2026-01,"7.909.605.604,10"
2026-02,"7.094.975.362,65"
2026-03,"7.363.650.777,42"
2026-04,"8.601.709.499,24"
2026-05,"7.366.688.992,19"
2026-06,"7.728.367.429,26"
2026-07,"7.666.854.067,81"
2026-08,"7.676.326.424,17"
