Métrica,Valor,Valor_formatado
RMSE (Root Mean Squared Error),269999842.28092384,"269.999.842,28"
MAE (Mean Absolute Error),239980347.81747118,"239.980.347,82"
MAPE (Mean Absolute % Error),3.890940208833787,"3,89"
