Modelo,RMSE,MAE,MAPE
Holt-Winters,"132.848.714,73","114.283.978,48","7,18"
ARIMA,"135.470.185,89","112.238.726,09","6,92"
Redes Neurais,"174.975.599,78","151.900.185,97","9,48"
