Modelo,RMSE,MAE,MAPE
ARIMA,"102.213.037,48","70.100.409,99","2,60"
Holt-Winters,"102.533.664,12","82.442.246,87","3,13"
Redes Neurais,"170.775.826,33","113.548.809,05","4,13"
