Modelo,RMSE,MAE,MAPE
Holt-Winters,"35.121.468,56","22.729.648,74","23,96"
ARIMA,"37.755.522,71","28.117.542,52","32,25"
Redes Neurais,"64.356.726,15","51.457.147,26","52,93"
