Modelo,RMSE,MAE,MAPE
ARIMA,"57.079.609,09","45.181.789,87","6,58"
Holt-Winters,"65.960.658,00","47.167.629,26","6,43"
Redes Neurais,"115.989.291,12","93.996.283,68","13,40"
