Modelo,RMSE,MAE,MAPE
Holt-Winters,"39.869.505,54","29.591.145,99","7,41"
ARIMA,"45.865.458,37","31.448.925,33","7,82"
Redes Neurais,"193.764.965,64","171.676.476,56","59,95"
