Modelo,RMSE,MAE,MAPE
Redes Neurais,"32.387.501,80","16.675.431,09","14,83"
ARIMA,"19.145.707,03","10.669.791,25","9,94"
Holt-Winters,"13.008.742,34","7.889.261,63","7,92"
