Modelo,RMSE,MAE,MAPE
Redes Neurais,"34.935.061,79","23.421.255,53","5,06"
ARIMA,"25.658.221,57","21.646.893,02","4,89"
Holt-Winters,"24.074.762,98","18.027.603,69","4,29"
