Modelo,RMSE,MAE,MAPE
Redes Neurais,"111.155.399,12","63.903.994,77","25,95"
Holt-Winters,"106.502.811,12","59.038.988,04","22,79"
ARIMA,"84.141.142,62","47.508.600,83","19,52"
