Mês,Valores_Previstos
2025-09,"2.446.006.230,67"
2025-10,"2.448.378.741,06"
2025-11,"2.456.960.417,17"
2025-12,"2.461.120.166,62"
2026-01,"2.452.974.945,23"
2026-02,"2.454.183.206,19"
2026-03,"2.453.028.951,92"
2026-04,"2.457.614.626,22"
2026-05,"2.459.462.617,67"
2026-06,"2.461.062.005,57"
2026-07,"2.458.186.365,02"
2026-08,"2.458.887.259,22"
