Mês,Valores_Previstos
2025-09,"61.760.132,29"
2025-10,"59.106.863,20"
2025-11,"50.655.717,80"
2025-12,"55.431.068,92"
2026-01,"527.547.981,79"
2026-02,"303.216.031,61"
2026-03,"279.537.552,28"
2026-04,"274.754.028,44"
2026-05,"263.751.125,50"
2026-06,"243.171.492,66"
2026-07,"99.248.922,50"
2026-08,"86.911.715,39"
