Modelo,RMSE,MAE,MAPE
Holt-Winters,"104.317.212,38","87.922.692,27","3,92"
ARIMA,"112.708.641,67","91.203.249,19","4,07"
Redes Neurais,"135.291.100,28","101.478.742,12","4,52"
